es,a,b,chrf,bleu,cer,wer,jaccard,coseno,len_ratio,rep_a,rep_b,nivel
El sol se esconde detrás de las montañas todas las tardes.,Inti sapa chisin urqukunaj qhipanpi pakakun.,Inti sapa ch'isiyay urqukunapa qhipanpi pakakun.,67.55,0.0,0.1538,0.5,0.4444,0.6172,0.8571,1,1,bajo
Mi abuela cocina la mejor sopa de quinua del pueblo.,Abuelay llaqtapi aswan allin kinuwa lawata waykun.,Awichay llaqtapi aswan allin kinwa lawata wayk'un.,69.4977,0.0015,0.1364,0.5714,0.3636,0.5345,0.875,1,1,bajo
Ayer caminamos durante tres horas para llegar al mercado.,Qayna kimsa horasta purirqaniku qhatuman chayanaykupaq.,Qayna p'unchay kimsa urata purirqayku qhatuman chayanaykupaq.,62.2885,0.0,0.26,0.6667,0.4,0.5774,0.75,1,1,bajo
¿Cuántos años tiene tu hermano menor?,Sullk'a wayqiykiqa jayk'a watayuq?,Wayqeyki sullk'a hayk'a watayuqtaq?,54.379,0.0,0.5806,0.6667,0.25,0.625,1.0,2,2,medio
Los niños jugaban en el patio mientras llovía suavemente.,"Wawakuna patiopi pukllasharqaku, para llamp'uta chayashaqtin.",Wawakuna pampapi pukllasharqanku pisilla paraqtin.,44.9949,0.0,0.3393,0.8571,0.0909,0.169,1.4,1,1,medio
"Necesito comprar pan, leche y algunas verduras frescas.","T'antata, lechita, jinaspa wakin musuq mikhunakunata rantiyta munani.","T'antata, lichita, musuq qura mikhuykunatapas rantinay tiyan.",43.8952,0.0,0.4516,0.7778,0.2143,0.3536,1.125,1,1,medio
"Si tuviera más tiempo, viajaría por todo el país.","Aswan tiempoy kanman chayqa, tukuy suyuta puriyta munani.","Aswan pachay kaptinqa, llapa suyuta puriyman.",36.3077,0.0,0.46,0.75,0.1667,0.2887,1.3333,1,1,alto
El río crece mucho durante la temporada de lluvias.,Mayuqa para tiempopi anchata wiñan.,Mayuqa para pachapi ancha hatunyapun.,45.6897,0.0,0.4194,0.6,0.25,0.4,1.0,1,1,medio
Ella estudia ingeniería en la universidad desde hace dos años.,Paymi iskay watamanta yachaywasi jatunpi ingenieriata yachakun.,Payqa iskay watamanta universidadpi ingenieríata yachakushan.,50.283,0.0,0.3158,0.7143,0.1818,0.3086,1.1667,1,1,medio
No me gusta llegar tarde a las reuniones importantes.,Mana munanichu jatun tantakuykunaman qhipa chayayta.,Mana munanichu hatun tantanakuykunaman qhipa chayayta.,78.8219,0.0,0.0638,0.3333,0.5,0.6667,1.0,1,1,bajo
El agricultor sembró maíz y papa en su terreno.,Chakra runaqa sarata papatawan jallp'anpi tarpurqan.,Chakra runaqa sarawan papawan tarp'urqan chakranpi.,48.3488,0.0,0.4043,0.7143,0.1667,0.2857,1.0,1,1,medio
"Cuando era niño, vivía en una casa cerca del río.","Wawa kashaspay, mayuj qaylanpi wasipi kawsarqani.",Wawa kaspaymi mayu qayllapi huk wasipi tiyakurqani.,39.3583,0.0,0.3864,0.8333,0.1818,0.3086,0.8571,1,1,alto
El profesor explicó la lección con mucha paciencia.,Yachachiqqa yachachikuyta sumaq pacienciawan sut'inchakurqan.,Yachachiqqa ancha suyaywan yachachikuyta sut'incharqan.,55.0387,0.0,0.4035,0.6667,0.3333,0.5,1.0,1,1,bajo
Mañana iremos a visitar a nuestros parientes en el campo.,Paqarin chakraman ayllunchikta watukuq risaqku.,Paqarin ayllumasinchikkunata watukuq risunchik chakraman.,57.5433,0.0,0.6977,0.8,0.4286,0.6,1.0,1,1,bajo
Las llamas pastan tranquilamente en las alturas de la cordillera.,Llamakuna urqu patapi sumaqta mikhuchkanku.,Llamakuna urqu patakunapi thak kachkan michiqkuna hina.,44.9921,0.0,0.5897,1.0,0.2,0.3381,0.7143,1,1,medio
Quiero aprender a tocar la quena algún día.,Juk p'unchaw qinata waqachiyta yachayta munani.,Huk p'unchay qinata waqachiyta yachayta munani.,82.292,0.4347,0.0476,0.2857,0.5556,0.7143,1.0,1,1,bajo
El mercado central abre muy temprano los domingos.,Jatun qhatuqa domingokunapi tutallamanta kichakun.,Chawpi qhatuqa intichaw p'unchaykunapi ancha tutamanta kicharikun.,36.4854,0.0,0.6087,1.4,0.0833,0.1581,0.625,1,1,alto
Mi madre teje mantas de lana con colores brillantes.,Mamayqa millmamanta punchuta sumaq llimphikunawan awan.,Mamayay llimphiq llimp'ikunawan millma mantakunata awayn.,37.5428,0.0,0.62,1.1667,0.0,0.0,0.8571,1,1,alto
El cóndor vuela alto sobre las montañas heladas.,Kunturqa chiri urqukunaj patanta jananta phawan.,Kunturqa rit'iyuq urqukunapa hawanpi alto phawarin.,34.574,0.0,0.4186,1.0,0.0833,0.1543,0.8571,1,1,alto
Tenemos que terminar este trabajo antes del viernes.,Viernes ñawpaqta kay llank'ayta tukunanchik kan.,Kay llamk'ayta viernes p'unchayman manaraq chayaspa tukuchinanchik tiyan.,38.3972,0.0,0.8837,1.2857,0.2143,0.3586,0.7,1,1,alto
